,Product_name,Prices,Description,Rating
0,Aroma NB119B Badshah 60 Hours Playing Time Fast Chargin...,₹431,"Blue, In the Ear",4
1,OnePlus Nord Buds Bluetooth Headset,"₹2,699","Black Slate, True Wireless",4.3
2,HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...,₹599,"Black, True Wireless",3.9
3,"Boult Audio ProBass YCharge with Fast Charging , Pro+ C...",₹699,"Black, In the Ear",4
4,boAt Bassheads 100 Wired Headset,₹399,"Black, In the Ear",4.3
5,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹999,"Sunset Grey, True Wireless",4.1
6,boAt Rockerz 235 Pro with upto 20 Hours Playback and AS...,₹899,"Ash Grey, In the Ear",4.2
7,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,199","Navy Blue, In the Ear",4.2
8,Boult Audio Airbass X50 Wireless Earphone / X50 Bluetoo...,"₹1,099","Black, True Wireless",4.1
9,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,₹899,"Black, True Wireless",3.9
10,boAt Rockerz 255F Pro with ASAP Charge and upto 10 Hour...,"₹1,099","Active Black, In the Ear",4.1
11,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","Black, True Wireless",4
12,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,₹899,"Black, True Wireless",3.7
13,TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹399,"Blue, In the Ear",3.7
14,"BHAVISHU New I7s WITH SMALL SIZE, SUPER LIGHTWEIGHT ear...",₹375,"White, In the Ear",3.8
15,Boult Audio ProBass Curve Neckband Bluetooth Headset,₹799,"Blue, Black, Grey, In the Ear",4
16,TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹439,"Green, In the Ear",3.9
17,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"Blue, In the Ear",4
18,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹799,"Black, In the Ear",4
19,Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs ...,₹799,"Black, In the Ear",3.8
20,"truke Air Buds Lite with Quad Mic ENC, 10mm Driver, Ear...",₹899,"Black, True Wireless",4
21,realme Buds 2 Neo With HD Mic Wired Headset,₹499,"Black, In the Ear",4.2
22,"boAt Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...","₹1,899","Black, True Wireless",4.1
23,Boult Audio ProBass XCharge with Zen Tech ENC mic 28H P...,₹799,"Black, In the Ear",3.8
24,Aroma NB119B Badshah 60 Hours Playing Time Fast Chargin...,₹431,"Green, In the Ear",4
