,Product_name,Prices,Description,Rating
0,"Boult Audio ProBass YCharge with Fast Charging , Pro+ C...",₹699,"Black, In the Ear",4
1,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"Blue, In the Ear",4
2,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,699","Magico Black, In the Ear",4.2
3,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,699","Acoustic Red, In the Ear",4.2
4,Fire-Boltt Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,₹799,"Black, True Wireless",4.1
5,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,699","Beam Blue, In the Ear",4.2
6,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹899,"Active Black, True Wireless",4
7,Boult Audio ProBass Curve Neckband Bluetooth Headset,₹799,"Blue, Black, Grey, In the Ear",4
8,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",₹999,"White, True Wireless",4.1
9,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹899,"Midnight Blue, True Wireless",4
10,boAt Rockerz 235 Pro with upto 20 Hours Playback and AS...,₹899,"Active Black, In the Ear",4.2
11,Boult Audio ProBass Escape with Zen Tech ENC mic 10Hrs ...,₹799,"Black, In the Ear",3.8
12,"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","₹1,099","Pebble Black, True Wireless",4.1
13,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,₹381,"Black, In the Ear",4
14,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",₹999,"Black, True Wireless",4.1
15,Boult Audio Airbass Truebuds Bluetooth Headset,"₹7,998","Grey, True Wireless",3.8
16,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799","Midnight, True Wireless",4.2
17,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,"Green, In the Ear",4
18,OPPO Enco Buds 2 with 28 Hours Playback and AI Deep Noi...,"₹1,599","Lime Green, True Wireless",4.2
19,Boult Audio ProBass XCharge with Zen Tech ENC mic 28H P...,₹799,"Black, In the Ear",3.8
20,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,199","Active Black, In the Ear",4.2
21,Fire-Boltt Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,₹799,"Pink, True Wireless",4.1
22,boAt Airdopes 163 Bluetooth Headset,"₹1,099","Active Black, True Wireless",4.1
23,Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,₹899,"Black, True Wireless",3.8
24,Boult Audio Airbass X50 Wireless Earphone / X50 Bluetoo...,"₹1,099","White, True Wireless",4.1
25,boAt Airdopes 163 Bluetooth Headset,"₹1,099","Bold Blue, True Wireless",4.1
26,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,"Black, In the Ear",4
27,"truke Buds Q1 with 30H Playtime, Quad Mic ENC, Game Mod...","₹1,099","Black, True Wireless",4
28,"Wings Phantom 315 Earbuds with 40 hrs Battery Backup, E...",₹899,"Black, In the Ear",4.4
29,Aroma NB120H Crazy - 15 Hours Playtime Bluetooth Neckba...,₹296,"Black, In the Ear",3.7
30,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,"₹1,099","Ivory White, True Wireless",4
31,Mivi DuoPods M30 earbuds with 42 hours of playtime | Ma...,₹899,"Blue, True Wireless",3.7
32,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,"Blue, In the Ear",4
33,TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹445,"Black, In the Ear",3.9
34,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,199","Navy Blue, In the Ear",4.2
35,boAt Rockerz 235 Pro with upto 20 Hours Playback and AS...,₹899,"Ash Grey, In the Ear",4.2
36,boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,199","Teal Green, In the Ear",4.2
37,Aroma NB119Pro Belief 48 Hours Playing Time Fast Chargi...,₹395,"Blue, In the Ear",4
38,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹999,"Black, True Wireless",4
39,"Boult Audio Airbass X45 with Quad Mic ENC, 40H Playtime...","₹1,299","Grey, True Wireless",4.1
